"product_id","product_name","product_brand","total_revenue","brand_avg","revenue_status"
351,"ADJ Rosy Sunglasses","ADJ","1711.20","1711.20","Equal to average"
663,"Akron Eyeglass Screwdriver","Akron","1022.56","971.51","above average"
664,"Akron City Map","Akron","920.46","971.51","below average"
1010,"American Corned Beef","American","1356.80","1168.56","above average"
1005,"American Turkey Hot Dogs","American","1490.56","1168.56","above average"
1006,"American Foot-Long Hot Dogs","American","1099.96","1168.56","below average"
1013,"American Potato Salad","American","739.35","1168.56","below average"
1008,"American Cole Slaw","American","484.16","1168.56","below average"
1004,"American Low Fat Bologna","American","1466.57","1168.56","above average"
1009,"American Roasted Chicken","American","1577.07","1168.56","above average"
1003,"American Beef Bologna","American","414.18","1168.56","below average"
1007,"American Low Fat Cole Slaw","American","1278.01","1168.56","above average"
1014,"American Sliced Chicken","American","297.95","1168.56","below average"
1001,"American Chicken Hot Dogs","American","1224.72","1168.56","above average"
1011,"American Sliced Turkey","American","1737.16","1168.56","above average"
1002,"American Pimento Loaf","American","1540.08","1168.56","above average"
1012,"American Sliced Ham","American","1653.24","1168.56","above average"
1464,"Amigo Lox","Amigo","1329.04","1449.91","below average"
1465,"Amigo Scallops","Amigo","1570.77","1449.91","above average"
661,"Applause Canned Peaches","Applause","1305.72","1431.26","below average"
660,"Applause Canned Mixed Fruit","Applause","1556.80","1431.26","above average"
564,"Atomic Tasty Candy Bar","Atomic","308.22","1019.42","below average"
570,"Atomic Mints","Atomic","1242.00","1019.42","above average"
566,"Atomic Malted Milk Balls","Atomic","836.60","1019.42","below average"
567,"Atomic Semi-Sweet Chocolate Bar","Atomic","1151.50","1019.42","above average"
571,"Atomic White Chocolate Bar","Atomic","730.00","1019.42","below average"
565,"Atomic Mint Chocolate Bar","Atomic","436.50","1019.42","below average"
569,"Atomic Spicy Mints","Atomic","1535.76","1019.42","above average"
568,"Atomic Bubble Gum","Atomic","1914.75","1019.42","above average"
923,"BBB Best Columbian Coffee","BBB Best","756.00","1075.84","below average"
936,"BBB Best Extra Chunky Peanut Butter","BBB Best","1456.72","1075.84","above average"
926,"BBB Best Low Fat Apple Butter","BBB Best","290.64","1075.84","below average"
916,"BBB Best Decaf Coffee","BBB Best","1539.43","1075.84","above average"
920,"BBB Best Tomato Sauce","BBB Best","390.55","1075.84","below average"
912,"BBB Best Hot Chocolate","BBB Best","1283.44","1075.84","above average"
915,"BBB Best French Roast Coffee","BBB Best","1845.41","1075.84","above average"
938,"BBB Best Grape Jelly","BBB Best","924.14","1075.84","below average"
